timestamp,eta_1.0_T0_10K_ffsct_0.100,eta_1.0_T0_10K_ffsct_0.068,eta_1.0_T0_10K_ffsct_0.047,eta_1.0_T0_80K_ffsct_0.100,eta_1.0_T0_80K_ffsct_0.068,eta_1.0_T0_80K_ffsct_0.047,eta_1.0_T0_400K_ffsct_0.100,eta_1.0_T0_400K_ffsct_0.068,eta_1.0_T0_400K_ffsct_0.047,eta_0.1_T0_10K_ffsct_0.100,eta_0.1_T0_80K_ffsct_0.100,eta_0.1_T0_400K_ffsct_0.100,eta_0.01_T0_10K_ffsct_0.100,eta_0.01_T0_80K_ffsct_0.100,eta_0.01_T0_400K_ffsct_0.100,eta_0.001_T0_10K_ffsct_0.100,eta_0.001_T0_80K_ffsct_0.100,eta_0.001_T0_400K_ffsct_0.100
,,,,,,,,,,,,0.795,,,1.19,,1.46,1.735
,,,,,,,,,,,,0.795,,,1.19,,1.462,1.737
,,,,,,,,,,,,0.795,,,1.19,,1.465,1.74
,,,,,,,,,,,,0.795,,,1.19,,1.467,1.742
,,,,,,,,,,,,0.795,,,1.19,,1.47,1.744
,,,,,,,,,,,,0.795,,,1.19,,1.473,1.747
,,,,,,,,,,,,0.795,,,1.19,,1.475,1.749
,,,,,,,,,,,,0.795,,,1.19,,1.478,1.751
,,,,,,,,,,,,0.795,,,1.19,,1.48,1.754
,,,,,,,,,,,,0.795,,,1.19,,1.482,1.756
,,,,,,,,,,,,0.795,,,1.19,,1.485,1.758
,,,,,,,,,,,,0.795,,,1.19,,1.488,1.76
,,,,,,,,,,,,0.795,,,1.19,,1.49,1.762
,,,,,,,,,,,,0.795,,,1.19,,1.493,1.764
,,,,,,,,,,,,0.795,,,1.19,,1.495,1.767
,,,,,,,,,,,,0.795,,,1.19,,1.497,1.769
,,,,,,,,,,,,0.795,,,1.19,,1.5,1.771
,,,,,,,,,,,,0.795,,,1.19,,1.502,1.774
,,,,,,,,,,,,0.795,,,1.19,,1.504,1.776
,,,,,,,,,,,,0.795,,,1.19,,1.507,1.778
,,,,,,,,,,,,0.795,,,1.19,,1.509,1.78
,,,,,,,,,,,,0.795,,,1.19,,1.511,1.782
,,,,,,,,,,,,0.795,,,1.19,,1.513,1.784
,,,,,,,,,,,,0.795,,,1.19,,1.516,1.786
,,,,,,,,,,,,0.795,,,1.19,,1.518,1.789
,,,,,,,,,,,,0.795,,,1.19,,1.52,1.791
,,,,,,,,,,,,0.795,,,1.194,,1.522,1.793
,,,,,,,,,,,,0.795,,,1.199,,1.525,1.795
,,,,,,,,,,,,0.795,,,1.204,,1.527,1.798
,,,,,,,,,,,,0.795,,,1.209,,1.529,1.8
,,,,,,,,,,,,0.795,,,1.213,,1.531,1.802
,,,,,,,,,,,,0.795,,,1.218,,1.533,1.804
,,,,,,,,,,,,0.795,,,1.222,,1.535,1.806
,,,,,,,,,,,,0.795,,,1.225,,1.537,1.808
,,,,,,,,,,,,0.795,,,1.229,,1.539,1.81
,,,,,,,,,,,,0.795,,,1.232,,1.541,1.813
,,,,,,,,,,,,0.795,,,1.235,,1.544,1.815
,,,,,,,,,,,,0.795,,,1.238,,1.546,1.817
,,,,,,,,,,,,0.795,,,1.242,,1.548,1.819
,,,,,,,,,,,,0.795,,,1.245,,1.55,1.822
,,,,,,,,,,,,0.795,,,1.249,,1.552,1.824
,,,,,,,,,,,,0.795,,,1.252,,1.554,1.826
,,,,,,,,,,,,0.795,,,1.255,,1.556,1.828
,,,,,,,,,,,,0.795,,,1.257,,1.558,1.83
,,,,,,,,,,,,0.795,,,1.26,,1.56,1.832
,,,,,,,,,,,,0.795,,,1.263,,1.562,1.834
,,,,,,,,,,,,0.795,,,1.266,,1.564,1.836
,,,,,,,,,,,,0.795,,,1.269,,,1.838
,,,,,,,,,,,,0.795,,,1.272,,,1.841
,,,,,,,,,,,,0.795,,,1.273,,,1.843
,,,,,,,,,,,,0.795,,,1.273,,,1.845
,,,,,,,,,,,,0.795,,,1.273,,,1.847
,,,,,,,,,,,,0.795,,,1.273,,,1.849
,,,,,,,,,,,,0.795,,,1.273,,,1.851
,,,,,,,,,,,,0.795,,,1.273,,,1.853
,,,,,,,,,,,,0.795,,,1.273,,,1.855
,,,,,,,,,,,,0.795,,,1.273,,,1.857
,,,,,,,,,,,,0.795,,,1.273,,,1.859
,,,,,,,,,,,,0.795,,,1.273,,,1.861
,,,,,,,,,,,,0.795,,,1.274,,,1.863
,,,,,,,,,,,,0.795,,,1.277,,,1.865
,,,,,,,,,,,,0.795,,,1.28,,,1.867
,,,,,,,,,,,,0.795,,,1.282,,,1.869
,,,,,,,,,,,,0.795,,,1.285,,,1.871
,,,,,,,,,,,,0.795,,,1.287,,,1.873
,,,,,,,,,,,,0.795,,,1.29,,,1.875
,,,,,,,,,,,,0.795,,,1.293,,,1.877
,,,,,,,,,,,,0.795,,,1.295,,,1.879
,,,,,,,,,,,,0.795,,,1.298,,,1.88
,,,,,,,,,,,,0.795,,,1.301,,,
,,,,,,,,,,,,0.795,,,1.303,,,
,,,,,,,,,,,,0.795,,,1.306,,,
,,,,,,,,,,,,0.795,,,1.308,,,
,,,,,,,,,,,,0.795,,,1.31,,,
,,,,,,,,,,,,0.795,,,1.313,,,
,,,,,,,,,,,,0.795,,,1.315,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
,,,,,,,,,,,,0.795,,,,,,
